airline,departure_airport,departure_time,destination_airport,destination_time,price,duration_time,crawled_at,source
VietJet Air,SGN,23:20,HAN,01:30,1.328.600 VND/khách,2h 10m,2025-11-16 23:31:03,traveloka.com
VietJet Air,SGN,05:40,HAN,07:50,1.328.600 VND/khách,2h 10m,2025-11-16 23:31:03,traveloka.com
VietJet Air,SGN,06:55,HAN,09:05,1.328.600 VND/khách,2h 10m,2025-11-16 23:31:03,traveloka.com
VietJet Air,SGN,07:20,HAN,09:30,1.328.600 VND/khách,2h 10m,2025-11-16 23:31:03,traveloka.com
VietJet Air,SGN,08:15,HAN,10:25,1.328.600 VND/khách,2h 10m,2025-11-16 23:31:03,traveloka.com
VietJet Air,SGN,18:00,HAN,20:10,1.328.600 VND/khách,2h 10m,2025-11-16 23:31:03,traveloka.com
VietJet Air,SGN,20:45,HAN,22:55,1.328.600 VND/khách,2h 10m,2025-11-16 23:31:03,traveloka.com
VietJet Air,SGN,21:45,HAN,23:55,1.328.600 VND/khách,2h 10m,2025-11-16 23:31:03,traveloka.com
VietJet Air,SGN,23:20,HAN,01:30,1.328.600 VND/khách,2h 10m,2025-11-16 23:31:03,traveloka.com
Bamboo Airways,SGN,07:10,HAN,09:20,1.366.633 VND/khách,2h 10m,2025-11-16 23:31:03,traveloka.com
Bamboo Airways,SGN,19:25,HAN,21:35,1.366.633 VND/khách,2h 10m,2025-11-16 23:31:03,traveloka.com
Bamboo Airways,SGN,19:35,HAN,21:45,1.366.633 VND/khách,2h 10m,2025-11-16 23:31:03,traveloka.com
Vietravel Airlines,SGN,07:05,HAN,09:15,1.418.870 VND/khách,2h 10m,2025-11-16 23:31:03,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,21:50,HAN,23:55,1.483.703 VND/khách,2h 5m,2025-11-16 23:31:03,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,06:30,HAN,08:40,1.483.703 VND/khách,2h 10m,2025-11-16 23:31:03,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,18:10,HAN,20:20,1.483.703 VND/khách,2h 10m,2025-11-16 23:31:03,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,19:15,HAN,21:25,1.483.703 VND/khách,2h 10m,2025-11-16 23:31:03,traveloka.com
Vietravel Airlines,SGN,05:45,HAN,07:55,1.500.956 VND/khách,2h 10m,2025-11-16 23:31:03,traveloka.com
Vietravel Airlines,SGN,13:15,HAN,15:20,1.541.255 VND/khách,2h 5m,2025-11-16 23:31:03,traveloka.com
Vietravel Airlines,SGN,17:10,HAN,19:20,1.541.255 VND/khách,2h 10m,2025-11-16 23:31:03,traveloka.com
