airline,departure_airport,departure_time,destination_airport,destination_time,price,duration_time,crawled_at,source
SUN PhuQuoc AIRWAYS,SGN,21:50,HAN,23:55,1.371.161 VND/khách,2h 5m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,21:00,HAN,23:10,1.112.600 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,21:30,HAN,23:40,1.112.600 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
SUN PhuQuoc AIRWAYS,SGN,19:15,HAN,21:25,1.371.161 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
Bamboo Airways,SGN,18:40,HAN,20:50,1.441.374 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
Bamboo Airways,SGN,19:35,HAN,21:45,1.441.374 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
Vietravel Airlines,SGN,17:10,HAN,19:20,1.486.530 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
Bamboo Airways,SGN,07:10,HAN,09:20,1.569.784 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,05:40,HAN,07:50,1.574.485 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,06:40,HAN,08:50,1.574.485 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,06:50,HAN,09:00,1.574.485 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,12:00,HAN,14:10,1.574.485 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,12:30,HAN,14:40,1.574.485 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,13:10,HAN,15:20,1.574.485 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,14:40,HAN,16:50,1.574.485 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,14:50,HAN,17:00,1.574.485 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,18:15,HAN,20:25,1.574.485 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,18:50,HAN,21:00,1.574.485 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,21:10,HAN,23:20,1.574.485 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,17:50,HAN,20:05,1.574.485 VND/khách,2h 15m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,21:45,HAN,23:55,1.589.473 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,23:55,HAN,02:05,1.589.473 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
SUN PhuQuoc AIRWAYS,SGN,18:10,HAN,20:20,1.656.172 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,09:05,HAN,11:15,1.720.153 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,11:20,HAN,13:30,1.720.153 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
Bamboo Airways,SGN,13:15,HAN,15:25,1.741.992 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
Bamboo Airways,SGN,16:15,HAN,18:25,1.741.992 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,23:00,HAN,01:05,1.766.232 VND/khách,2h 5m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,22:20,HAN,00:30,1.766.232 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
Vietravel Airlines,SGN,14:00,HAN,15:55,1.784.035 VND/khách,1h 55m,2025-11-11 21:38:43,Traveloka.com
Vietravel Airlines,SGN,13:15,HAN,15:20,1.784.035 VND/khách,2h 5m,2025-11-11 21:38:43,Traveloka.com
SUN PhuQuoc AIRWAYS,SGN,06:30,HAN,08:40,1.846.720 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
Bamboo Airways,SGN,10:20,HAN,12:30,2.118.262 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,22:00,HAN,00:05,2.256.741 VND/khách,2h 5m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,16:40,HAN,18:45,2.345.652 VND/khách,2h 5m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,19:35,HAN,21:40,2.467.530 VND/khách,2h 5m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,17:00,HAN,19:05,2.669.328 VND/khách,2h 5m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,18:00,HAN,20:05,2.669.328 VND/khách,2h 5m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,19:00,HAN,21:05,2.669.328 VND/khách,2h 5m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,07:25,HAN,09:30,3.167.035 VND/khách,2h 5m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,20:00,HAN,22:05,3.167.035 VND/khách,2h 5m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,16:00,HAN,18:05,3.167.829 VND/khách,2h 5m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,21:00,HAN,23:05,3.167.829 VND/khách,2h 5m,2025-11-11 21:38:43,Traveloka.com
Vietravel Airlines,SGN,07:05,HAN,09:15,3.229.770 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,15:30,HAN,17:35,3.613.708 VND/khách,2h 5m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,05:20,HAN,07:30,3.683.000 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,07:20,HAN,09:30,3.727.437 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,09:00,HAN,11:10,3.727.437 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,20:05,HAN,22:15,3.727.437 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,21:50,HAN,00:00,3.727.437 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,23:20,HAN,01:30,3.727.437 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,06:40,HAN,08:45,3.800.196 VND/khách,2h 5m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,07:00,HAN,09:05,3.868.063 VND/khách,2h 5m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,10:00,HAN,12:05,3.868.063 VND/khách,2h 5m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,14:00,HAN,16:05,3.868.063 VND/khách,2h 5m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,15:00,HAN,17:05,3.868.063 VND/khách,2h 5m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,11:05,HAN,13:10,3.876.120 VND/khách,2h 5m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,12:00,HAN,14:05,4.110.686 VND/khách,2h 5m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,09:25,HAN,01:10,1.606.021 VND/khách,15h 45m,2025-11-11 21:38:43,Traveloka.com
"VietJet Air, Bamboo Airways",SGN,09:25,HAN,23:30,1.714.535 VND/khách,14h 5m,2025-11-11 21:38:43,Traveloka.com
"Vietravel Airlines, VietJet Air",SGN,09:00,HAN,01:10,1.783.026 VND/khách,16h 10m,2025-11-11 21:38:43,Traveloka.com
"Bamboo Airways, VietJet Air",SGN,08:50,HAN,01:10,1.794.351 VND/khách,16h 20m,2025-11-11 21:38:43,Traveloka.com
"Bamboo Airways, VietJet Air",SGN,06:15,HAN,01:10,1.794.351 VND/khách,18h 55m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,09:25,HAN,22:15,1.803.200 VND/khách,12h 50m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,09:25,HAN,22:55,1.828.205 VND/khách,13h 30m,2025-11-11 21:38:43,Traveloka.com
"Vietravel Airlines, Bamboo Airways",SGN,09:00,HAN,23:30,1.891.540 VND/khách,14h 30m,2025-11-11 21:38:43,Traveloka.com
Bamboo Airways,SGN,08:50,HAN,23:30,1.902.865 VND/khách,14h 40m,2025-11-11 21:38:43,Traveloka.com
"Vietravel Airlines, VietJet Air",SGN,09:00,HAN,22:15,1.980.205 VND/khách,13h 15m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,09:25,HAN,16:50,2.051.967 VND/khách,7h 25m,2025-11-11 21:38:43,Traveloka.com
VietJet Air,SGN,05:30,HAN,13:05,2.051.967 VND/khách,7h 35m,2025-11-11 21:38:43,Traveloka.com
"Vietravel Airlines, VietJet Air",SGN,09:00,HAN,16:50,2.228.972 VND/khách,7h 50m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,15:55,HAN,10:35,3.633.227 VND/khách,18h 40m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,11:55,HAN,10:35,4.068.272 VND/khách,22h 40m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,13:35,HAN,15:05,4.068.272 VND/khách,25h 30m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,15:20,HAN,12:10,4.363.180 VND/khách,20h 50m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,15:05,HAN,11:10,4.658.629 VND/khách,20h 5m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,18:20,HAN,11:20,4.950.015 VND/khách,17h 0m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,14:00,HAN,12:10,5.093.674 VND/khách,22h 10m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,09:55,HAN,12:10,5.093.674 VND/khách,26h 15m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,20:55,HAN,08:00,5.680.237 VND/khách,11h 5m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,17:25,HAN,11:20,5.680.237 VND/khách,17h 55m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,20:55,HAN,21:45,5.680.237 VND/khách,24h 50m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,13:00,HAN,12:10,5.827.420 VND/khách,23h 10m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,15:20,HAN,17:30,5.827.420 VND/khách,26h 10m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,09:05,HAN,08:00,6.266.801 VND/khách,22h 55m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,15:15,HAN,08:00,6.557.915 VND/khách,16h 45m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,12:15,HAN,08:00,6.580.684 VND/khách,19h 45m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,11:05,HAN,08:00,6.673.997 VND/khách,20h 55m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,19:00,HAN,12:20,7.118.261 VND/khách,17h 20m,2025-11-11 21:38:43,Traveloka.com
Vietnam Airlines,SGN,19:00,HAN,18:55,7.118.261 VND/khách,23h 55m,2025-11-11 21:38:43,Traveloka.com
SUN PhuQuoc AIRWAYS,HAN,18:55,SGN,21:05,1.666.625 VND/khách,2h 10m,2025-11-11 21:38:43,Traveloka.com
