airline,departure_airport,departure_time,destination_airport,destination_time,price,duration_time,crawled_at,source
VietJet Air,SGN,23:20,HAN,01:30,1.170.120 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
Bamboo Airways,SGN,19:35,HAN,21:45,1.569.617 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
Bamboo Airways,SGN,23:25,HAN,01:35,1.569.617 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
VietJet Air,SGN,21:45,HAN,23:55,1.587.025 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
VietJet Air,SGN,05:40,HAN,07:50,1.618.865 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
Vietravel Airlines,SGN,17:10,HAN,19:20,1.680.555 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
Vietravel Airlines,SGN,21:05,HAN,23:15,1.680.555 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
VietJet Air,SGN,05:20,HAN,07:30,1.730.305 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
VietJet Air,SGN,06:15,HAN,08:25,1.730.305 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
VietJet Air,SGN,07:20,HAN,09:30,1.730.305 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
VietJet Air,SGN,14:40,HAN,16:50,1.730.305 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
VietJet Air,SGN,15:20,HAN,17:30,1.730.305 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
VietJet Air,SGN,17:05,HAN,19:15,1.730.305 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
VietJet Air,SGN,19:05,HAN,21:15,1.730.305 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
VietJet Air,SGN,21:00,HAN,23:10,1.730.305 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
Vietravel Airlines,SGN,14:00,HAN,15:55,1.838.760 VND/khách,1h 55m,2025-10-29 01:58:29,traveloka.com
Vietravel Airlines,SGN,07:05,HAN,09:15,1.838.760 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
VietJet Air,SGN,08:30,HAN,10:40,1.845.725 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
VietJet Air,SGN,09:00,HAN,11:10,1.845.725 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
VietJet Air,SGN,10:00,HAN,12:10,1.845.725 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
VietJet Air,SGN,13:00,HAN,15:10,1.845.725 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
Vietravel Airlines,SGN,05:45,HAN,07:55,1.906.172 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
VietJet Air,SGN,19:50,HAN,22:00,1.911.191 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
Bamboo Airways,SGN,07:10,HAN,09:20,1.919.599 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
Bamboo Airways,SGN,17:35,HAN,19:45,1.919.599 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
Vietravel Airlines,SGN,13:10,HAN,15:20,2.054.675 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
Bamboo Airways,SGN,10:20,HAN,12:30,2.095.650 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
Bamboo Airways,SGN,13:15,HAN,15:25,2.095.650 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
Vietnam Airlines,SGN,22:00,HAN,00:05,2.266.701 VND/khách,2h 5m,2025-10-29 01:58:29,traveloka.com
Vietnam Airlines,SGN,23:00,HAN,01:05,2.266.701 VND/khách,2h 5m,2025-10-29 01:58:29,traveloka.com
VietJet Air,SGN,12:00,HAN,14:10,2.367.105 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
Vietnam Airlines,SGN,16:55,HAN,19:00,2.681.090 VND/khách,2h 5m,2025-10-29 01:58:29,traveloka.com
Vietnam Airlines,SGN,21:30,HAN,23:40,2.681.090 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
Vietnam Airlines,SGN,16:00,HAN,18:05,2.906.872 VND/khách,2h 5m,2025-10-29 01:58:29,traveloka.com
Vietnam Airlines,SGN,16:40,HAN,18:45,2.906.872 VND/khách,2h 5m,2025-10-29 01:58:29,traveloka.com
Vietnam Airlines,SGN,12:20,HAN,14:30,3.139.959 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
Vietnam Airlines,SGN,12:00,HAN,14:05,3.373.048 VND/khách,2h 5m,2025-10-29 01:58:29,traveloka.com
Vietnam Airlines,SGN,21:00,HAN,23:05,3.373.048 VND/khách,2h 5m,2025-10-29 01:58:29,traveloka.com
Vietnam Airlines,SGN,17:00,HAN,19:05,3.583.547 VND/khách,2h 5m,2025-10-29 01:58:29,traveloka.com
Vietnam Airlines,SGN,19:35,HAN,21:40,3.583.547 VND/khách,2h 5m,2025-10-29 01:58:29,traveloka.com
VietJet Air,SGN,22:45,HAN,00:55,3.754.135 VND/khách,2h 10m,2025-10-29 01:58:29,traveloka.com
Vietnam Airlines,SGN,07:25,HAN,09:30,3.755.989 VND/khách,2h 5m,2025-10-29 01:58:29,traveloka.com
Vietnam Airlines,SGN,11:00,HAN,13:05,3.755.989 VND/khách,2h 5m,2025-10-29 01:58:29,traveloka.com
Vietnam Airlines,SGN,19:00,HAN,21:05,3.755.989 VND/khách,2h 5m,2025-10-29 01:58:29,traveloka.com
Vietnam Airlines,SGN,06:40,HAN,08:45,3.830.948 VND/khách,2h 5m,2025-10-29 01:58:29,traveloka.com
Vietnam Airlines,SGN,06:55,HAN,09:00,3.830.948 VND/khách,2h 5m,2025-10-29 01:58:29,traveloka.com
Vietnam Airlines,SGN,13:30,HAN,15:35,3.830.948 VND/khách,2h 5m,2025-10-29 01:58:29,traveloka.com
Vietravel Airlines,SGN,09:00,HAN,20:15,1.875.625 VND/khách,11h 15m,2025-10-29 01:58:29,traveloka.com
Vietravel Airlines,SGN,19:10,HAN,09:50,1.875.625 VND/khách,14h 40m,2025-10-29 01:58:29,traveloka.com
"Vietravel Airlines, VietJet Air",SGN,19:10,HAN,07:05,1.926.370 VND/khách,11h 55m,2025-10-29 01:58:29,traveloka.com
"Vietravel Airlines, VietJet Air",SGN,19:10,HAN,09:00,1.926.370 VND/khách,13h 50m,2025-10-29 01:58:29,traveloka.com
"Vietravel Airlines, VietJet Air",SGN,19:10,HAN,09:15,1.926.370 VND/khách,14h 5m,2025-10-29 01:58:29,traveloka.com
"Vietravel Airlines, VietJet Air",SGN,19:10,HAN,17:30,1.926.370 VND/khách,22h 20m,2025-10-29 01:58:29,traveloka.com
"Vietravel Airlines, VietJet Air",SGN,19:10,HAN,19:35,1.926.370 VND/khách,24h 25m,2025-10-29 01:58:29,traveloka.com
"Vietravel Airlines, VietJet Air",SGN,09:00,HAN,19:35,1.933.335 VND/khách,10h 35m,2025-10-29 01:58:29,traveloka.com
"Vietravel Airlines, VietJet Air",SGN,09:00,HAN,22:15,1.933.335 VND/khách,13h 15m,2025-10-29 01:58:29,traveloka.com
"Vietravel Airlines, VietJet Air",SGN,09:00,HAN,17:30,1.953.661 VND/khách,8h 30m,2025-10-29 01:58:29,traveloka.com
VietJet Air,SGN,21:25,HAN,09:00,2.111.440 VND/khách,11h 35m,2025-10-29 01:58:29,traveloka.com
"Bamboo Airways, Vietravel Airlines",SGN,13:25,HAN,20:15,2.184.017 VND/khách,6h 50m,2025-10-29 01:58:29,traveloka.com
"Vietnam Airlines, Bamboo Airways",SGN,06:05,HAN,10:55,2.185.897 VND/khách,4h 50m,2025-10-29 01:58:29,traveloka.com
