airline,departure_airport,departure_time,destination_airport,destination_time,price,duration_time,crawled_at,source
VietJet Air,SGN,07:20,HAN,09:30,1.404.940 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
Bamboo Airways,SGN,23:25,HAN,01:35,1.366.633 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,15:25,HAN,17:35,1.404.940 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,15:50,HAN,18:00,1.404.940 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,19:50,HAN,22:00,1.404.940 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
Vietravel Airlines,SGN,05:45,HAN,07:55,1.412.900 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,23:00,HAN,01:05,1.435.785 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
Bamboo Airways,SGN,19:35,HAN,21:45,1.476.779 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,21:50,HAN,23:55,1.483.703 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,06:30,HAN,08:40,1.483.703 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,18:10,HAN,20:20,1.483.703 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,19:15,HAN,21:25,1.483.703 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
Vietravel Airlines,SGN,14:00,HAN,15:55,1.532.300 VND/khách,1h 55m,2025-11-17 23:31:07,traveloka.com
Vietravel Airlines,SGN,13:15,HAN,15:20,1.532.300 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
Vietravel Airlines,SGN,17:10,HAN,19:20,1.532.300 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
Vietravel Airlines,SGN,21:05,HAN,23:15,1.532.300 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
Vietravel Airlines,SGN,07:05,HAN,09:15,1.536.280 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,05:20,HAN,07:30,1.628.815 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,08:30,HAN,10:40,1.628.815 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,09:30,HAN,11:40,1.628.815 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,11:15,HAN,13:25,1.628.815 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,20:15,HAN,22:25,1.628.815 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,08:15,HAN,10:25,1.632.795 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,12:00,HAN,14:10,1.632.795 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,13:00,HAN,15:10,1.632.795 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,14:35,HAN,16:45,1.632.795 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,22:45,HAN,00:55,1.632.795 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,17:00,HAN,19:15,1.632.795 VND/khách,2h 15m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,10:00,HAN,12:10,1.635.780 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,21:00,HAN,23:10,1.635.780 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,22:00,HAN,00:05,1.801.198 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,21:05,HAN,23:10,1.801.342 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
Bamboo Airways,SGN,13:15,HAN,15:25,1.982.637 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,20:30,HAN,22:35,2.038.363 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,20:00,HAN,22:05,2.053.680 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,06:40,HAN,08:45,2.300.440 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
Bamboo Airways,SGN,07:10,HAN,09:20,2.382.030 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,20:00,HAN,22:05,2.501.201 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,07:35,HAN,09:40,2.851.670 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,17:00,HAN,19:05,2.851.670 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,18:00,HAN,20:05,2.851.670 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,19:05,HAN,21:10,2.851.670 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,07:15,HAN,09:20,3.190.965 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,04:55,HAN,07:05,3.206.885 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,16:00,HAN,18:05,3.656.625 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,05:40,HAN,07:50,3.762.095 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,06:15,HAN,08:25,3.762.095 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,14:40,HAN,16:50,3.762.095 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,18:50,HAN,21:00,3.762.095 VND/khách,2h 10m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,06:00,HAN,08:05,3.832.740 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,08:00,HAN,10:05,3.908.360 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,09:30,HAN,11:35,3.908.360 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,11:00,HAN,13:05,3.908.360 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,12:00,HAN,14:05,3.908.360 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,15:00,HAN,17:05,3.908.360 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,13:20,HAN,15:25,4.234.720 VND/khách,2h 5m,2025-11-17 23:31:07,traveloka.com
"VietJet Air, Vietravel Airlines",SGN,23:00,HAN,09:50,1.455.735 VND/khách,10h 50m,2025-11-17 23:31:07,traveloka.com
"VietJet Air, Vietravel Airlines",SGN,23:00,HAN,20:15,1.455.735 VND/khách,21h 15m,2025-11-17 23:31:07,traveloka.com
"VietJet Air, Vietravel Airlines",SGN,07:20,HAN,20:15,1.458.720 VND/khách,12h 55m,2025-11-17 23:31:07,traveloka.com
"VietJet Air, Vietravel Airlines",SGN,21:25,HAN,09:50,1.459.715 VND/khách,12h 25m,2025-11-17 23:31:07,traveloka.com
"VietJet Air, Vietravel Airlines",SGN,21:25,HAN,20:15,1.459.715 VND/khách,22h 50m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,21:25,HAN,09:00,1.462.700 VND/khách,11h 35m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,07:20,HAN,22:15,1.478.620 VND/khách,14h 55m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,07:20,HAN,19:35,1.490.439 VND/khách,12h 15m,2025-11-17 23:31:07,traveloka.com
Vietravel Airlines,SGN,09:00,HAN,20:15,1.500.510 VND/khách,11h 15m,2025-11-17 23:31:07,traveloka.com
"Vietravel Airlines, VietJet Air",SGN,09:00,HAN,22:15,1.520.410 VND/khách,13h 15m,2025-11-17 23:31:07,traveloka.com
"Vietravel Airlines, VietJet Air",SGN,09:00,HAN,19:35,1.532.229 VND/khách,10h 35m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,06:15,HAN,13:05,1.723.846 VND/khách,30h 50m,2025-11-17 23:31:07,traveloka.com
"Vietravel Airlines, VietJet Air",SGN,09:00,HAN,16:45,1.747.270 VND/khách,7h 45m,2025-11-17 23:31:07,traveloka.com
"Bamboo Airways, VietJet Air",SGN,08:50,HAN,16:45,1.797.269 VND/khách,7h 55m,2025-11-17 23:31:07,traveloka.com
Bamboo Airways,SGN,08:50,HAN,19:45,1.922.606 VND/khách,10h 55m,2025-11-17 23:31:07,traveloka.com
"VietJet Air, Vietravel Airlines",SGN,13:10,HAN,20:15,2.040.795 VND/khách,7h 5m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,13:10,HAN,19:35,2.072.514 VND/khách,6h 25m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,11:40,HAN,19:35,2.072.514 VND/khách,7h 55m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,09:45,HAN,16:45,2.153.230 VND/khách,7h 0m,2025-11-17 23:31:07,traveloka.com
VietJet Air,SGN,09:45,HAN,17:30,2.153.230 VND/khách,7h 45m,2025-11-17 23:31:07,traveloka.com
"Vietnam Airlines, Vietravel Airlines",SGN,15:35,HAN,20:15,2.206.960 VND/khách,4h 40m,2025-11-17 23:31:07,traveloka.com
"Vietnam Airlines, VietJet Air",SGN,20:55,HAN,16:25,2.265.665 VND/khách,19h 30m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,16:10,HAN,10:35,3.343.276 VND/khách,18h 25m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,11:55,HAN,10:35,3.343.276 VND/khách,22h 40m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,17:05,HAN,23:10,3.639.261 VND/khách,6h 5m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,20:55,HAN,09:20,3.639.261 VND/khách,12h 25m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,20:55,HAN,11:05,3.639.261 VND/khách,14h 10m,2025-11-17 23:31:07,traveloka.com
Vietnam Airlines,SGN,17:05,HAN,09:10,3.639.261 VND/khách,16h 5m,2025-11-17 23:31:07,traveloka.com
