airline,departure_airport,departure_time,destination_airport,destination_time,price,duration_time,crawled_at,source
SUN PhuQuoc AIRWAYS,SGN,21:50,HAN,23:55,1.489.268 VND/khách,2h 5m,2025-11-14 23:31:01,traveloka.com
VietJet Air,SGN,20:15,HAN,22:25,1.386.537 VND/khách,2h 10m,2025-11-14 23:31:01,traveloka.com
VietJet Air,SGN,22:45,HAN,00:55,1.386.537 VND/khách,2h 10m,2025-11-14 23:31:01,traveloka.com
Bamboo Airways,SGN,20:10,HAN,22:20,1.476.779 VND/khách,2h 10m,2025-11-14 23:31:01,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,19:15,HAN,21:25,1.489.268 VND/khách,2h 10m,2025-11-14 23:31:01,traveloka.com
Vietravel Airlines,SGN,17:10,HAN,19:20,1.496.571 VND/khách,2h 10m,2025-11-14 23:31:01,traveloka.com
Vietravel Airlines,SGN,05:45,HAN,07:55,1.538.270 VND/khách,2h 10m,2025-11-14 23:31:01,traveloka.com
VietJet Air,SGN,05:30,HAN,07:40,1.544.600 VND/khách,2h 10m,2025-11-14 23:31:01,traveloka.com
VietJet Air,SGN,07:20,HAN,09:30,1.544.600 VND/khách,2h 10m,2025-11-14 23:31:01,traveloka.com
VietJet Air,SGN,08:15,HAN,10:25,1.577.575 VND/khách,2h 10m,2025-11-14 23:31:01,traveloka.com
VietJet Air,SGN,08:30,HAN,10:40,1.577.575 VND/khách,2h 10m,2025-11-14 23:31:01,traveloka.com
VietJet Air,SGN,09:00,HAN,11:10,1.577.575 VND/khách,2h 10m,2025-11-14 23:31:01,traveloka.com
VietJet Air,SGN,14:35,HAN,16:45,1.577.575 VND/khách,2h 10m,2025-11-14 23:31:01,traveloka.com
VietJet Air,SGN,14:40,HAN,16:50,1.577.575 VND/khách,2h 10m,2025-11-14 23:31:01,traveloka.com
VietJet Air,SGN,14:50,HAN,17:00,1.577.575 VND/khách,2h 10m,2025-11-14 23:31:01,traveloka.com
VietJet Air,SGN,17:00,HAN,19:15,1.577.575 VND/khách,2h 15m,2025-11-14 23:31:01,traveloka.com
Bamboo Airways,SGN,07:10,HAN,09:20,1.608.343 VND/khách,2h 10m,2025-11-14 23:31:01,traveloka.com
Bamboo Airways,SGN,10:20,HAN,12:30,1.608.343 VND/khách,2h 10m,2025-11-14 23:31:01,traveloka.com
Bamboo Airways,SGN,19:35,HAN,21:45,1.608.343 VND/khách,2h 10m,2025-11-14 23:31:01,traveloka.com
Vietravel Airlines,SGN,13:15,HAN,15:20,1.673.590 VND/khách,2h 5m,2025-11-14 23:31:01,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,06:30,HAN,08:40,1.698.174 VND/khách,2h 10m,2025-11-14 23:31:01,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,18:10,HAN,20:20,1.698.174 VND/khách,2h 10m,2025-11-14 23:31:01,traveloka.com
Bamboo Airways,SGN,13:15,HAN,15:25,1.784.781 VND/khách,2h 10m,2025-11-14 23:31:01,traveloka.com
Vietnam Airlines,SGN,22:20,HAN,00:25,2.017.266 VND/khách,2h 5m,2025-11-14 23:31:01,traveloka.com
Vietnam Airlines,SGN,23:00,HAN,01:05,2.019.203 VND/khách,2h 5m,2025-11-14 23:31:01,traveloka.com
Vietnam Airlines,SGN,18:00,HAN,20:05,2.262.315 VND/khách,2h 5m,2025-11-14 23:31:01,traveloka.com
Vietnam Airlines,SGN,20:00,HAN,22:05,2.262.315 VND/khách,2h 5m,2025-11-14 23:31:01,traveloka.com
Vietnam Airlines,SGN,16:40,HAN,18:45,2.475.312 VND/khách,2h 5m,2025-11-14 23:31:01,traveloka.com
Vietnam Airlines,SGN,19:00,HAN,21:05,2.475.312 VND/khách,2h 5m,2025-11-14 23:31:01,traveloka.com
