airline,departure_airport,departure_time,destination_airport,destination_time,price,duration_time,crawled_at,source
VietJet Air,SGN,21:05,HAN,23:15,1.686.019 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
VietJet Air,SGN,20:25,HAN,22:35,1.686.019 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,21:50,HAN,23:55,1.691.480 VND/khách,2h 5m,2025-11-23 23:32:23,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,19:15,HAN,21:25,1.731.576 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
Vietnam Airlines,SGN,23:00,HAN,01:05,1.763.140 VND/khách,2h 5m,2025-11-23 23:32:23,traveloka.com
Bamboo Airways,SGN,23:25,HAN,01:35,1.767.369 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
VietJet Air,SGN,05:40,HAN,07:50,1.821.838 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
VietJet Air,SGN,06:50,HAN,09:00,1.821.838 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
VietJet Air,SGN,21:10,HAN,23:20,1.831.495 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,18:10,HAN,20:20,1.853.180 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
Vietravel Airlines,SGN,21:05,HAN,23:15,1.886.960 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
Bamboo Airways,SGN,19:35,HAN,21:45,1.963.294 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
Vietnam Airlines,SGN,21:05,HAN,23:10,1.977.065 VND/khách,2h 5m,2025-11-23 23:32:23,traveloka.com
Vietnam Airlines,SGN,22:00,HAN,00:05,1.977.065 VND/khách,2h 5m,2025-11-23 23:32:23,traveloka.com
VietJet Air,SGN,19:05,HAN,21:15,2.003.080 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
Vietravel Airlines,SGN,07:05,HAN,09:15,2.068.128 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
VietJet Air,SGN,23:20,HAN,01:30,2.144.826 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
VietJet Air,SGN,19:05,HAN,21:15,2.159.986 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
Vietnam Airlines,SGN,20:30,HAN,22:35,2.167.110 VND/khách,2h 5m,2025-11-23 23:32:23,traveloka.com
Vietnam Airlines,SGN,19:35,HAN,21:40,2.499.460 VND/khách,2h 5m,2025-11-23 23:32:23,traveloka.com
Vietnam Airlines,SGN,20:00,HAN,22:05,2.499.460 VND/khách,2h 5m,2025-11-23 23:32:23,traveloka.com
Vietravel Airlines,SGN,13:10,HAN,15:20,2.521.043 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
VietJet Air,SGN,13:20,HAN,15:30,2.543.950 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
Vietnam Airlines,SGN,16:40,HAN,18:45,2.655.655 VND/khách,2h 5m,2025-11-23 23:32:23,traveloka.com
VietJet Air,SGN,17:00,HAN,19:15,2.745.377 VND/khách,2h 15m,2025-11-23 23:32:23,traveloka.com
Bamboo Airways,SGN,07:10,HAN,09:20,2.795.028 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
Vietnam Airlines,SGN,17:00,HAN,19:05,2.826.976 VND/khách,2h 5m,2025-11-23 23:32:23,traveloka.com
Vietnam Airlines,SGN,19:50,HAN,21:55,2.826.976 VND/khách,2h 5m,2025-11-23 23:32:23,traveloka.com
Bamboo Airways,SGN,10:20,HAN,12:30,2.835.869 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
Bamboo Airways,SGN,13:15,HAN,15:25,2.835.869 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,06:30,HAN,08:40,3.022.435 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
Vietnam Airlines,SGN,16:00,HAN,18:05,3.135.245 VND/khách,2h 5m,2025-11-23 23:32:23,traveloka.com
VietJet Air,SGN,12:00,HAN,14:10,3.370.774 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
Vietnam Airlines,SGN,06:40,HAN,08:45,3.406.880 VND/khách,2h 5m,2025-11-23 23:32:23,traveloka.com
Vietnam Airlines,SGN,15:30,HAN,17:35,3.406.880 VND/khách,2h 5m,2025-11-23 23:32:23,traveloka.com
Vietnam Airlines,SGN,18:05,HAN,20:10,3.593.802 VND/khách,2h 5m,2025-11-23 23:32:23,traveloka.com
VietJet Air,SGN,10:00,HAN,12:10,3.633.149 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
VietJet Air,SGN,14:40,HAN,16:50,3.633.149 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
VietJet Air,SGN,21:45,HAN,23:55,3.633.149 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
VietJet Air,SGN,05:20,HAN,07:30,3.665.290 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
VietJet Air,SGN,06:15,HAN,08:25,3.665.290 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
VietJet Air,SGN,07:20,HAN,09:30,3.665.290 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
Vietnam Airlines,SGN,04:55,HAN,07:05,3.795.925 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
Vietnam Airlines,SGN,15:30,HAN,17:35,3.828.760 VND/khách,2h 5m,2025-11-23 23:32:23,traveloka.com
Vietnam Airlines,SGN,07:00,HAN,09:05,3.870.550 VND/khách,2h 5m,2025-11-23 23:32:23,traveloka.com
Vietravel Airlines,SGN,05:45,HAN,07:55,4.412.941 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
Vietravel Airlines,SGN,17:10,HAN,19:20,4.412.941 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
VietJet Air,SGN,08:15,HAN,10:25,9.171.329 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
VietJet Air,SGN,14:50,HAN,17:00,9.171.329 VND/khách,2h 10m,2025-11-23 23:32:23,traveloka.com
VietJet Air,SGN,22:40,HAN,07:05,1.650.000 VND/khách,8h 25m,2025-11-23 23:32:23,traveloka.com
"VietJet Air, Vietravel Airlines",SGN,22:40,HAN,21:20,1.737.190 VND/khách,22h 40m,2025-11-23 23:32:23,traveloka.com
"VietJet Air, Bamboo Airways",SGN,22:40,HAN,19:45,1.820.001 VND/khách,21h 5m,2025-11-23 23:32:23,traveloka.com
VietJet Air,SGN,23:00,HAN,07:05,1.837.420 VND/khách,8h 5m,2025-11-23 23:32:23,traveloka.com
VietJet Air,SGN,21:45,HAN,07:05,1.837.420 VND/khách,9h 20m,2025-11-23 23:32:23,traveloka.com
"VietJet Air, Vietravel Airlines",SGN,23:00,HAN,21:20,1.924.610 VND/khách,22h 20m,2025-11-23 23:32:23,traveloka.com
