airline,departure_airport,departure_time,destination_airport,destination_time,price,duration_time,crawled_at,source
VietJet Air,SGN,18:05,HAN,20:15,1.821.838 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
Bamboo Airways,SGN,23:25,HAN,01:35,1.592.652 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,19:15,HAN,21:25,1.689.153 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
Vietravel Airlines,SGN,17:10,HAN,19:20,1.822.590 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
Vietravel Airlines,SGN,21:05,HAN,23:15,1.822.590 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
Bamboo Airways,SGN,07:10,HAN,09:20,1.963.294 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
Bamboo Airways,SGN,19:35,HAN,21:45,1.977.663 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
VietJet Air,SGN,23:20,HAN,01:30,2.011.379 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
VietJet Air,SGN,17:00,HAN,19:15,2.011.379 VND/khách,2h 15m,2025-11-20 23:32:19,traveloka.com
VietJet Air,SGN,15:50,HAN,18:00,2.157.636 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
VietJet Air,SGN,21:45,HAN,23:55,2.157.636 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
VietJet Air,SGN,06:15,HAN,08:25,2.159.986 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
Vietnam Airlines,SGN,23:00,HAN,01:05,2.202.930 VND/khách,2h 5m,2025-11-20 23:32:19,traveloka.com
VietJet Air,SGN,09:05,HAN,11:15,2.220.242 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
VietJet Air,SGN,09:30,HAN,11:40,2.220.242 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
VietJet Air,SGN,10:00,HAN,12:10,2.356.110 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
VietJet Air,SGN,20:15,HAN,22:25,2.356.110 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,06:30,HAN,08:40,2.371.458 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
VietJet Air,SGN,08:30,HAN,10:40,2.426.441 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
VietJet Air,SGN,14:40,HAN,16:50,2.558.313 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
Bamboo Airways,SGN,13:15,HAN,15:25,2.607.626 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
Vietnam Airlines,SGN,07:30,HAN,09:35,2.679.535 VND/khách,2h 5m,2025-11-20 23:32:19,traveloka.com
Vietnam Airlines,SGN,06:40,HAN,08:45,2.747.566 VND/khách,2h 5m,2025-11-20 23:32:19,traveloka.com
VietJet Air,SGN,12:40,HAN,14:50,2.760.517 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,21:50,HAN,23:55,2.785.751 VND/khách,2h 5m,2025-11-20 23:32:19,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,18:10,HAN,20:20,2.785.751 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
Bamboo Airways,SGN,10:20,HAN,12:30,2.835.869 VND/khách,2h 10m,2025-11-20 23:32:19,traveloka.com
Vietnam Airlines,SGN,08:10,HAN,10:15,2.850.675 VND/khách,2h 5m,2025-11-20 23:32:19,traveloka.com
Vietnam Airlines,SGN,06:30,HAN,08:35,3.183.005 VND/khách,2h 5m,2025-11-20 23:32:19,traveloka.com
Vietnam Airlines,SGN,17:00,HAN,19:05,3.183.005 VND/khách,2h 5m,2025-11-20 23:32:19,traveloka.com
Vietnam Airlines,SGN,17:35,HAN,19:40,3.183.005 VND/khách,2h 5m,2025-11-20 23:32:19,traveloka.com
Vietnam Airlines,SGN,07:25,HAN,09:30,3.185.990 VND/khách,2h 5m,2025-11-20 23:32:19,traveloka.com
Vietnam Airlines,SGN,22:30,HAN,00:35,3.185.990 VND/khách,2h 5m,2025-11-20 23:32:19,traveloka.com
