airline,departure_airport,departure_time,destination_airport,destination_time,price,duration_time,crawled_at,source
VietJet Air,SGN,21:05,HAN,23:10,1.574.115 VND/khách,2h 5m,2025-11-21 23:32:45,traveloka.com
Bamboo Airways,SGN,23:25,HAN,01:35,1.462.371 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
Vietravel Airlines,SGN,23:15,HAN,01:25,1.517.670 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
VietJet Air,SGN,21:45,HAN,23:55,1.574.115 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
Bamboo Airways,SGN,19:35,HAN,21:45,1.592.652 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
Bamboo Airways,SGN,20:10,HAN,22:20,1.592.652 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
Vietravel Airlines,SGN,17:10,HAN,19:20,1.654.290 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
Vietravel Airlines,SGN,21:25,HAN,23:35,1.654.290 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,21:50,HAN,23:55,1.690.185 VND/khách,2h 5m,2025-11-21 23:32:45,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,19:15,HAN,21:25,1.690.185 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
Bamboo Airways,SGN,17:35,HAN,19:45,1.767.369 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
Vietnam Airlines,SGN,22:00,HAN,00:05,1.799.955 VND/khách,2h 5m,2025-11-21 23:32:45,traveloka.com
Vietnam Airlines,SGN,22:05,HAN,00:10,1.799.955 VND/khách,2h 5m,2025-11-21 23:32:45,traveloka.com
VietJet Air,SGN,17:55,HAN,19:55,1.831.495 VND/khách,2h 0m,2025-11-21 23:32:45,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,18:10,HAN,20:20,1.863.812 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
Vietnam Airlines,SGN,21:10,HAN,23:15,1.976.070 VND/khách,2h 5m,2025-11-21 23:32:45,traveloka.com
VietJet Air,SGN,06:15,HAN,08:25,1.996.366 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
VietJet Air,SGN,10:00,HAN,12:10,1.996.366 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
VietJet Air,SGN,08:30,HAN,10:40,2.003.080 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
VietJet Air,SGN,09:00,HAN,11:10,2.003.080 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
Vietravel Airlines,SGN,05:45,HAN,07:55,2.019.600 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
Vietnam Airlines,SGN,17:00,HAN,19:05,2.034.775 VND/khách,2h 5m,2025-11-21 23:32:45,traveloka.com
Vietnam Airlines,SGN,21:00,HAN,23:05,2.034.775 VND/khách,2h 5m,2025-11-21 23:32:45,traveloka.com
Vietnam Airlines,SGN,21:20,HAN,23:25,2.034.775 VND/khách,2h 5m,2025-11-21 23:32:45,traveloka.com
Vietnam Airlines,SGN,23:00,HAN,01:05,2.034.775 VND/khách,2h 5m,2025-11-21 23:32:45,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,06:30,HAN,08:40,2.118.894 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
VietJet Air,SGN,05:40,HAN,07:50,2.159.986 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
VietJet Air,SGN,13:00,HAN,15:10,2.395.811 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
VietJet Air,SGN,14:50,HAN,17:00,2.395.811 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
Bamboo Airways,SGN,07:10,HAN,09:20,2.607.626 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
Bamboo Airways,SGN,10:20,HAN,12:30,2.607.626 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
Bamboo Airways,SGN,13:15,HAN,15:25,2.607.626 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
Vietnam Airlines,SGN,15:05,HAN,17:10,2.654.660 VND/khách,2h 5m,2025-11-21 23:32:45,traveloka.com
Vietnam Airlines,SGN,06:40,HAN,08:45,2.690.480 VND/khách,2h 5m,2025-11-21 23:32:45,traveloka.com
Vietnam Airlines,SGN,15:00,HAN,17:05,2.824.976 VND/khách,2h 5m,2025-11-21 23:32:45,traveloka.com
Vietnam Airlines,SGN,16:00,HAN,18:05,2.824.976 VND/khách,2h 5m,2025-11-21 23:32:45,traveloka.com
Vietnam Airlines,SGN,17:05,HAN,19:10,2.824.976 VND/khách,2h 5m,2025-11-21 23:32:45,traveloka.com
VietJet Air,SGN,12:00,HAN,14:10,2.839.164 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
Vietnam Airlines,SGN,14:50,HAN,16:55,3.409.865 VND/khách,2h 5m,2025-11-21 23:32:45,traveloka.com
Vietnam Airlines,SGN,04:55,HAN,07:05,3.621.800 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
VietJet Air,SGN,11:25,HAN,13:30,3.633.149 VND/khách,2h 5m,2025-11-21 23:32:45,traveloka.com
VietJet Air,SGN,09:40,HAN,11:50,3.633.149 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
VietJet Air,SGN,14:55,HAN,17:05,3.633.149 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
VietJet Air,SGN,18:50,HAN,21:00,3.633.149 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
VietJet Air,SGN,19:50,HAN,22:00,3.633.149 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
VietJet Air,SGN,20:30,HAN,22:40,3.633.149 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
VietJet Air,SGN,22:45,HAN,00:55,3.633.149 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
VietJet Air,SGN,17:00,HAN,19:15,3.633.149 VND/khách,2h 15m,2025-11-21 23:32:45,traveloka.com
VietJet Air,SGN,05:20,HAN,07:30,3.665.290 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
VietJet Air,SGN,07:20,HAN,09:30,3.665.290 VND/khách,2h 10m,2025-11-21 23:32:45,traveloka.com
Vietnam Airlines,SGN,06:00,HAN,08:05,3.795.925 VND/khách,2h 5m,2025-11-21 23:32:45,traveloka.com
Vietnam Airlines,SGN,07:00,HAN,09:05,3.795.925 VND/khách,2h 5m,2025-11-21 23:32:45,traveloka.com
