airline,departure_airport,departure_time,destination_airport,destination_time,price,duration_time,crawled_at,source
VietJet Air,SGN,21:05,HAN,23:10,1.582.049 VND/khách,2h 5m,2025-11-19 23:33:26,traveloka.com
Vietravel Airlines,SGN,23:15,HAN,01:25,1.405.800 VND/khách,2h 10m,2025-11-19 23:33:26,traveloka.com
Bamboo Airways,SGN,23:25,HAN,01:35,1.462.371 VND/khách,2h 10m,2025-11-19 23:33:26,traveloka.com
Vietravel Airlines,SGN,21:05,HAN,23:15,1.528.560 VND/khách,2h 10m,2025-11-19 23:33:26,traveloka.com
VietJet Air,SGN,07:50,HAN,10:00,1.582.049 VND/khách,2h 10m,2025-11-19 23:33:26,traveloka.com
VietJet Air,SGN,21:45,HAN,23:55,1.582.049 VND/khách,2h 10m,2025-11-19 23:33:26,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,21:50,HAN,23:55,1.689.401 VND/khách,2h 5m,2025-11-19 23:33:26,traveloka.com
Bamboo Airways,SGN,20:10,HAN,22:20,1.767.369 VND/khách,2h 10m,2025-11-19 23:33:26,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,18:10,HAN,20:20,1.862.948 VND/khách,2h 10m,2025-11-19 23:33:26,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,19:15,HAN,21:25,1.862.948 VND/khách,2h 10m,2025-11-19 23:33:26,traveloka.com
Bamboo Airways,SGN,19:35,HAN,21:45,1.963.294 VND/khách,2h 10m,2025-11-19 23:33:26,traveloka.com
Vietnam Airlines,SGN,20:50,HAN,22:55,1.994.975 VND/khách,2h 5m,2025-11-19 23:33:26,traveloka.com
Vietnam Airlines,SGN,22:10,HAN,00:15,1.994.975 VND/khách,2h 5m,2025-11-19 23:33:26,traveloka.com
Vietnam Airlines,SGN,22:20,HAN,00:25,1.994.975 VND/khách,2h 5m,2025-11-19 23:33:26,traveloka.com
Vietravel Airlines,SGN,17:10,HAN,19:20,2.005.544 VND/khách,2h 10m,2025-11-19 23:33:26,traveloka.com
VietJet Air,SGN,17:00,HAN,19:15,2.013.129 VND/khách,2h 15m,2025-11-19 23:33:26,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,06:30,HAN,08:40,2.117.912 VND/khách,2h 10m,2025-11-19 23:33:26,traveloka.com
Vietravel Airlines,SGN,07:05,HAN,09:15,2.215.620 VND/khách,2h 10m,2025-11-19 23:33:26,traveloka.com
Vietnam Airlines,SGN,23:00,HAN,01:05,2.300.440 VND/khách,2h 5m,2025-11-19 23:33:26,traveloka.com
Vietravel Airlines,SGN,13:15,HAN,15:20,2.391.840 VND/khách,2h 5m,2025-11-19 23:33:26,traveloka.com
VietJet Air,SGN,14:40,HAN,16:50,2.560.372 VND/khách,2h 10m,2025-11-19 23:33:26,traveloka.com
