airline,departure_airport,departure_time,destination_airport,destination_time,price,duration_time,crawled_at,source
VietJet Air,SGN,23:20,HAN,01:30,1.328.600 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
VietJet Air,SGN,07:20,HAN,09:30,1.328.600 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
VietJet Air,SGN,08:15,HAN,10:25,1.328.600 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
VietJet Air,SGN,22:05,HAN,00:15,1.328.600 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
VietJet Air,SGN,22:45,HAN,00:55,1.328.600 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
Bamboo Airways,SGN,22:30,HAN,00:40,1.366.633 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
Bamboo Airways,SGN,07:10,HAN,09:20,1.476.779 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
Vietravel Airlines,SGN,05:45,HAN,07:55,1.541.255 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
Vietravel Airlines,SGN,07:05,HAN,09:15,1.541.255 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
VietJet Air,SGN,05:40,HAN,07:50,1.544.600 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
VietJet Air,SGN,10:05,HAN,12:10,1.599.972 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
VietJet Air,SGN,19:05,HAN,21:15,1.599.972 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
Bamboo Airways,SGN,16:30,HAN,18:40,1.608.343 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
Vietravel Airlines,SGN,13:15,HAN,15:20,1.680.555 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,21:50,HAN,23:55,1.696.931 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,06:30,HAN,08:40,1.696.931 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,19:45,HAN,21:55,1.696.931 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
VietJet Air,SGN,12:05,HAN,14:15,1.715.912 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
VietJet Air,SGN,13:00,HAN,15:10,1.715.912 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,22:05,HAN,00:10,1.782.556 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Bamboo Airways,SGN,10:20,HAN,12:30,1.784.781 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,18:10,HAN,20:20,1.871.250 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,22:05,HAN,00:10,2.017.266 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,23:15,HAN,01:20,2.017.266 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,21:30,HAN,23:35,2.019.390 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietravel Airlines,SGN,14:00,HAN,15:55,2.055.670 VND/khách,1h 55m,2025-11-15 23:31:04,traveloka.com
Vietravel Airlines,SGN,17:10,HAN,19:20,2.055.670 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,07:00,HAN,09:05,2.475.312 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,07:25,HAN,09:30,2.475.312 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,20:05,HAN,22:10,2.475.312 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,06:00,HAN,08:05,2.675.901 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,17:35,HAN,19:40,2.675.901 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,18:40,HAN,20:45,2.675.901 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,20:00,HAN,22:05,2.675.901 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,21:05,HAN,23:10,2.675.901 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,08:00,HAN,10:05,2.678.720 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,16:40,HAN,18:45,2.678.720 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,04:55,HAN,07:05,2.781.366 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
VietJet Air,SGN,06:15,HAN,08:25,3.078.200 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
VietJet Air,SGN,08:30,HAN,10:40,3.138.812 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
VietJet Air,SGN,10:00,HAN,12:10,3.138.812 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
VietJet Air,SGN,11:15,HAN,13:25,3.138.812 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
VietJet Air,SGN,14:40,HAN,16:50,3.138.812 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
VietJet Air,SGN,15:20,HAN,17:30,3.138.812 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
VietJet Air,SGN,18:50,HAN,21:00,3.138.812 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
VietJet Air,SGN,21:00,HAN,23:10,3.138.812 VND/khách,2h 10m,2025-11-15 23:31:04,traveloka.com
VietJet Air,SGN,17:00,HAN,19:15,3.138.812 VND/khách,2h 15m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,15:30,HAN,17:35,3.167.035 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,16:00,HAN,18:05,3.167.035 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,10:05,HAN,12:10,3.613.708 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,13:05,HAN,15:10,3.613.708 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,14:50,HAN,16:55,3.613.708 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,19:00,HAN,21:05,3.613.708 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,12:10,HAN,14:15,3.792.584 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,14:00,HAN,16:05,3.792.584 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,15:00,HAN,17:05,3.792.584 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
Vietnam Airlines,SGN,18:00,HAN,20:05,3.792.584 VND/khách,2h 5m,2025-11-15 23:31:04,traveloka.com
